3201010,3201,NANGGUNG
3201020,3201,LEUWILIANG
3201021,3201,LEUWISADENG
3201030,3201,PAMIJAHAN
3201040,3201,CIBUNGBULANG
3201050,3201,CIAMPEA
3201051,3201,TENJOLAYA
3201060,3201,DRAMAGA
3201070,3201,CIOMAS
3201071,3201,TAMANSARI
3201080,3201,CIJERUK
3201081,3201,CIGOMBONG
3201090,3201,CARINGIN
3201100,3201,CIAWI
3201110,3201,CISARUA
3201120,3201,MEGAMENDUNG
3201130,3201,SUKARAJA
3201140,3201,BABAKAN MADANG
3201150,3201,SUKAMAKMUR
3201160,3201,CARIU
3201161,3201,TANJUNGSARI
3201170,3201,JONGGOL
3201180,3201,CILEUNGSI
3201181,3201,KELAPA NUNGGAL
3201190,3201,GUNUNG PUTRI
3201200,3201,CITEUREUP
3201210,3201,CIBINONG
3201220,3201,BOJONG GEDE
3201221,3201,TAJUR HALANG
3201230,3201,KEMANG
3201231,3201,RANCA BUNGUR
3201240,3201,PARUNG
3201241,3201,CISEENG
3201250,3201,GUNUNG SINDUR
3201260,3201,RUMPIN
3201270,3201,CIGUDEG
3201271,3201,SUKAJAYA
3201280,3201,JASINGA
3201290,3201,TENJO
3201300,3201,PARUNG PANJANG
3202010,3202,CIEMAS
3202020,3202,CIRACAP
3202021,3202,WALURAN
3202030,3202,SURADE
3202031,3202,CIBITUNG
3202040,3202,JAMPANG KULON
3202041,3202,CIMANGGU
3202050,3202,KALI BUNDER
3202060,3202,TEGAL BULEUD
3202070,3202,CIDOLOG
3202080,3202,SAGARANTEN
3202081,3202,CIDADAP
3202082,3202,CURUGKEMBAR
3202090,3202,PABUARAN
3202100,3202,LENGKONG
3202110,3202,PALABUHANRATU
3202111,3202,SIMPENAN
3202120,3202,WARUNG KIARA
3202121,3202,BANTARGADUNG
3202130,3202,JAMPANG TENGAH
3202131,3202,PURABAYA
3202140,3202,CIKEMBAR
3202150,3202,NYALINDUNG
3202160,3202,GEGER BITUNG
3202170,3202,SUKARAJA
3202171,3202,KEBONPEDES
3202172,3202,CIREUNGHAS
3202173,3202,SUKALARANG
3202180,3202,SUKABUMI
3202190,3202,KADUDAMPIT
3202200,3202,CISAAT
3202201,3202,GUNUNGGURUH
3202210,3202,CIBADAK
3202211,3202,CICANTAYAN
3202212,3202,CARINGIN
3202220,3202,NAGRAK
3202221,3202,CIAMBAR
3202230,3202,CICURUG
3202240,3202,CIDAHU
3202250,3202,PARAKAN SALAK
3202260,3202,PARUNG KUDA
3202261,3202,BOJONG GENTENG
3202270,3202,KALAPA NUNGGAL
3202280,3202,CIKIDANG
3202290,3202,CISOLOK
3202291,3202,CIKAKAK
3202300,3202,KABANDUNGAN
3203010,3203,AGRABINTA
3203011,3203,LELES
3203020,3203,SINDANGBARANG
3203030,3203,CIDAUN
3203040,3203,NARINGGUL
3203050,3203,CIBINONG
3203051,3203,CIKADU
3203060,3203,TANGGEUNG
3203061,3203,PASIRKUDA
3203070,3203,KADUPANDAK
3203071,3203,CIJATI
3203080,3203,TAKOKAK
3203090,3203,SUKANAGARA
3203100,3203,PAGELARAN
3203110,3203,CAMPAKA
3203111,3203,CAMPAKA MULYA
3203120,3203,CIBEBER
3203130,3203,WARUNGKONDANG
3203131,3203,GEKBRONG
3203140,3203,CILAKU
3203150,3203,SUKALUYU
3203160,3203,BOJONGPICUNG
3203161,3203,HAURWANGI
3203170,3203,CIRANJANG
3203180,3203,MANDE
3203190,3203,KARANGTENGAH
3203200,3203,CIANJUR
3203210,3203,CUGENANG
3203220,3203,PACET
3203221,3203,CIPANAS
3203230,3203,SUKARESMI
3203240,3203,CIKALONGKULON
3204010,3204,CIWIDEY
3204011,3204,RANCABALI
3204020,3204,PASIRJAMBU
3204030,3204,CIMAUNG
3204040,3204,PANGALENGAN
3204050,3204,KERTASARI
3204060,3204,PACET
3204070,3204,IBUN
3204080,3204,PASEH
3204090,3204,CIKANCUNG
3204100,3204,CICALENGKA
3204101,3204,NAGREG
3204110,3204,RANCAEKEK
3204120,3204,MAJALAYA
3204121,3204,SOLOKAN JERUK
3204130,3204,CIPARAY
3204140,3204,BALEENDAH
3204150,3204,ARJASARI
3204160,3204,BANJARAN
3204161,3204,CANGKUANG
3204170,3204,PAMEUNGPEUK
3204180,3204,KATAPANG
3204190,3204,SOREANG
3204191,3204,KUTAWARINGIN
3204250,3204,MARGAASIH
3204260,3204,MARGAHAYU
3204270,3204,DAYEUHKOLOT
3204280,3204,BOJONGSOANG
3204290,3204,CILEUNYI
3204300,3204,CILENGKRANG
3204310,3204,CIMENYAN
3205010,3205,CISEWU
3205011,3205,CARINGIN
3205020,3205,TALEGONG
3205030,3205,BUNGBULANG
3205031,3205,MEKARMUKTI
3205040,3205,PAMULIHAN
3205050,3205,PAKENJENG
3205060,3205,CIKELET
3205070,3205,PAMEUNGPEUK
3205080,3205,CIBALONG
3205090,3205,CISOMPET
3205100,3205,PEUNDEUY
3205110,3205,SINGAJAYA
3205111,3205,CIHURIP
3205120,3205,CIKAJANG
3205130,3205,BANJARWANGI
3205140,3205,CILAWU
3205150,3205,BAYONGBONG
3205151,3205,CIGEDUG
3205160,3205,CISURUPAN
3205161,3205,SUKARESMI
3205170,3205,SAMARANG
3205171,3205,PASIRWANGI
3205181,3205,TAROGONG KIDUL
3205182,3205,TAROGONG KALER
3205190,3205,GARUT KOTA
3205200,3205,KARANGPAWITAN
3205210,3205,WANARAJA
3205211,3205,SUCINARAJA
3205212,3205,PANGATIKAN
3205220,3205,SUKAWENING
3205221,3205,KARANGTENGAH
3205230,3205,BANYURESMI
3205240,3205,LELES
3205250,3205,LEUWIGOONG
3205260,3205,CIBATU
3205261,3205,KERSAMANAH
3205270,3205,CIBIUK
3205280,3205,KADUNGORA
3205290,3205,BLUBUR LIMBANGAN
3205300,3205,SELAAWI
3205310,3205,MALANGBONG
3206010,3206,CIPATUJAH
3206020,3206,KARANGNUNGGAL
3206030,3206,CIKALONG
3206040,3206,PANCATENGAH
3206050,3206,CIKATOMAS
3206060,3206,CIBALONG
3206061,3206,PARUNGPONTENG
3206070,3206,BANTARKALONG
3206071,3206,BOJONGASIH
3206072,3206,CULAMEGA
3206080,3206,BOJONGGAMBIR
3206090,3206,SODONGHILIR
3206100,3206,TARAJU
3206110,3206,SALAWU
3206111,3206,PUSPAHIANG
3206120,3206,TANJUNGJAYA
3206130,3206,SUKARAJA
3206140,3206,SALOPA
3206141,3206,JATIWARAS
3206150,3206,CINEAM
3206151,3206,KARANGJAYA
3206160,3206,MANONJAYA
3206161,3206,GUNUNGTANJUNG
3206190,3206,SINGAPARNA
3206191,3206,SUKARAME
3206192,3206,MANGUNREJA
3206200,3206,CIGALONTANG
3206210,3206,LEUWISARI
3206211,3206,SARIWANGI
3206212,3206,PADAKEMBANG
3206221,3206,SUKARATU
3206230,3206,CISAYONG
3206231,3206,SUKAHENING
3206240,3206,RAJAPOLAH
3206250,3206,JAMANIS
3206260,3206,CIAWI
3206261,3206,KADIPATEN
3206270,3206,PAGERAGEUNG
3206271,3206,SUKARESIK
3207100,3207,BANJARSARI
3207101,3207,BANJARANYAR
3207110,3207,LAKBOK
3207111,3207,PURWADADI
3207120,3207,PAMARICAN
3207130,3207,CIDOLOG
3207140,3207,CIMARAGAS
3207150,3207,CIJEUNGJING
3207160,3207,CISAGA
3207170,3207,TAMBAKSARI
3207180,3207,RANCAH
3207190,3207,RAJADESA
3207200,3207,SUKADANA
3207210,3207,CIAMIS
3207211,3207,BAREGBEG
3207220,3207,CIKONENG
3207221,3207,SINDANGKASIH
3207230,3207,CIHAURBEUTI
3207240,3207,SADANANYA
3207250,3207,CIPAKU
3207260,3207,JATINAGARA
3207270,3207,PANAWANGAN
3207280,3207,KAWALI
3207281,3207,LUMBUNG
3207290,3207,PANJALU
3207291,3207,SUKAMANTRI
3207300,3207,PANUMBANGAN
3208010,3208,DARMA
3208020,3208,KADUGEDE
3208021,3208,NUSAHERANG
3208030,3208,CINIRU
